Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/06/1995,     133760360.00000,             0.00000,             0.00000,     333941888.00000,     467702240.00000,      -2179071.00000,            -0.00000,    -467312704.00000,            -0.00000,    -469491776.00000,      -1789536.00000,            -0.38000
    1, 01/06/1995,     132383320.00000,             0.00000,             0.00000,     333600320.00000,     465983648.00000,      -1214118.87500,            -0.00000,    -464765408.00000,            -0.00000,    -465979520.00000,          4128.00000,             0.00000
    1, 01/06/1995,     130338832.00000,             0.00000,             0.00000,     332623520.00000,     462962368.00000,       -986571.81250,            -0.00000,    -461975776.00000,            -0.00000,    -462962336.00000,            32.00000,             0.00000
    1, 01/06/1995,     127595752.00000,             0.00000,             0.00000,     337926560.00000,     465522304.00000,      -2648323.00000,            -0.00000,    -462874048.00000,            -0.00000,    -465522368.00000,           -64.00000,            -0.00000
    1, 01/06/1995,     127104264.00000,             0.00000,             0.00000,     333497344.00000,     460601600.00000,      -1126689.62500,            -0.00000,    -459461600.00000,            -0.00000,    -460588288.00000,         13312.00000,             0.00000
    1, 01/06/1995,     124568696.00000,             0.00000,             0.00000,     336098720.00000,     460667424.00000,      -1463314.00000,            -0.00000,    -461026336.00000,            -0.00000,    -462489664.00000,      -1822240.00000,            -0.39000
    1, 01/06/1995,     122572648.00000,             0.00000,             0.00000,     336964672.00000,     459537312.00000,      -2084196.62500,            -0.00000,    -458464736.00000,            -0.00000,    -460548928.00000,      -1011616.00000,            -0.22000
    1, 01/06/1995,     121353904.00000,             0.00000,             0.00000,     338241568.00000,     459595456.00000,      -1464924.62500,            -0.00000,    -458122688.00000,            -0.00000,    -459587616.00000,          7840.00000,             0.00000
    1, 01/06/1995,     119706656.00000,             0.00000,             0.00000,     337256064.00000,     456962720.00000,      -1439428.25000,            -0.00000,    -455516960.00000,            -0.00000,    -456956384.00000,          6336.00000,             0.00000
    1, 01/06/1995,     117451768.00000,             0.00000,             0.00000,     340587456.00000,     458039232.00000,      -2510294.75000,            -0.00000,    -456243808.00000,            -0.00000,    -458754112.00000,       -714880.00000,            -0.16000
    1, 01/06/1995,     117181152.00000,             0.00000,             0.00000,     335811488.00000,     452992640.00000,       -770454.06250,            -0.00000,    -452223488.00000,            -0.00000,    -452993952.00000,         -1312.00000,            -0.00000
